,Gender,First Name,Last Name,City,State,Country,Age,Annual Vacation Days,Average Monthly Spend on Entertainment,Number of Online Purchases in Last Month,Number of Charity Donations in Last Year,Average Weekly Exercise Hours,Investment Portfolio Value,Health Consciousness Rating,Education Level,Average Daily Screen Time,Environmental Awareness Rating,Social Media Influence Score,Risk Tolerance in Investments,Number of Professional Trainings Attended,Tech-Savviness Score,Financial Wellness Index,Lifestyle Balance Score,Entertainment Engagement Factor,Social Responsibility Index,Work-Life Balance Indicator,Investment Risk Appetite,Eco-Consciousness Metric,Stress Management Score,Time Management Skill,Lifestyle Choice
291322,female,Shantie,Laarhoven,Hollandscheveld,Zeeland,Netherlands,41,8.3359,13.0629,161.0408,1.4171,0.0,310.2311,0.6587,3.0177,4.4937,2.0038,4.2624,5.1432,2.8919,14.5201,99.1947,11.2475,1.9538,0.0,0.0091,6.1375,0.0411,3.1082,22.5927,Eco-Friendly
347972,male,Leonel,Moreira,Ponta Grossa,Minas Gerais,Brazil,43,27.4735,29.5793,140.6202,3.2855,0.0,246.9494,0.7439,9.3683,3.7025,2.7011,4.6374,3.5675,1.7357,13.433,93.8652,33.305,2.0999,0.3256,0.1016,1.2934,1.2372,4.6009,8.9623,Eco-Friendly
32098,male,سینا,یاسمی,قم,اصفهان,Iran,47,1.7345,44.7049,165.3446,0.1167,0.103,470.9488,0.7019,10.4558,5.2032,2.2885,3.5259,4.4925,2.326,15.2555,95.0655,1.6459,2.0324,0.297,0.1016,2.2136,0.0,2.9766,14.514,Eco-Friendly
177799,male,Noah,Bailey,Bath,Grampian,United Kingdom,19,10.6788,5.96,142.0655,2.221,0.0705,246.0094,0.6587,2.5999,5.8201,2.9726,2.9848,4.0532,3.538,14.2418,97.57,15.252,1.7685,0.0814,0.0428,1.0838,0.002,2.6363,40.3108,Eco-Friendly
276004,male,Cosme,Mendes,Araucária,Piauí,Brazil,34,19.4053,40.4437,93.6564,0.2707,0.1521,20.4989,0.7191,10.7751,4.4352,4.8274,5.3841,3.973,2.9129,16.9906,101.517,20.0547,2.3394,0.0652,0.2787,0.8326,0.0168,5.0512,30.5091,Eco-Friendly
93570,female,Abby,Bailey,Ely,East Sussex,United Kingdom,22,20.8802,69.4642,224.9436,0.0321,0.0994,22.7132,0.6212,8.3463,7.2443,0.5142,6.9823,6.9115,3.6615,17.829,102.1321,21.4537,2.1806,0.1356,0.0152,8.2977,0.0099,4.3127,48.5931,Eco-Friendly
267955,male,Danko,Prudkiy,Pustomiti,Cherkaska,Ukraine,36,13.2466,38.4824,106.9524,1.6856,0.0,198.1648,0.6075,9.0134,3.7797,3.0152,5.9091,4.1453,3.4839,12.5664,100.0782,15.2944,2.2902,0.0241,0.5504,6.2424,0.0048,4.5105,35.4351,Eco-Friendly
78721,female,Debra,Dean,Donabate,Wicklow,Ireland,41,5.0638,43.1025,118.2268,2.8389,0.0176,307.517,0.6204,1.4007,3.7688,2.1409,7.1721,4.593,3.5975,12.5116,103.5684,6.8889,2.5488,0.0001,0.0099,4.0698,0.0364,4.9111,34.0156,Eco-Friendly
309909,female,Juliette,Scott,Oakville,Northwest Territories,Canada,32,10.5585,25.8519,151.5007,0.0689,0.0,49.5604,0.5436,2.5855,7.9056,0.5797,5.383,6.9724,1.4597,15.0394,198.9238,7.9313,1.6985,0.0,0.8779,0.0,0.0,2.1398,5.9925,Eco-Friendly
410048,male,Seth,Welch,Tamworth,New South Wales,Australia,63,6.8645,8.9757,144.0253,1.596,0.0185,315.7354,0.7078,3.3275,4.2702,1.9336,3.9576,4.4687,4.7591,13.8722,98.0003,9.6094,1.9142,0.0,0.0115,1.5417,0.0028,2.8581,95.2209,Eco-Friendly
68948,male,Damien,Pierre,Saint-Légier-La Chiésaz,Luzern,Switzerland,47,18.6748,5.8906,106.7708,1.2265,0.0482,265.332,0.6616,5.836,6.3652,4.4135,2.8851,6.4925,3.3022,12.3171,93.4733,23.9218,1.7196,0.0922,0.0,7.1646,0.0052,2.7763,32.1038,Eco-Friendly
183058,female,Josefine,Johansen,Gørløse,Sjælland,Denmark,43,19.7687,9.9229,125.8585,0.1017,0.3364,361.7027,0.6771,9.2427,3.3599,0.7675,3.0078,4.7768,3.7357,12.8815,106.0455,20.769,1.6811,0.0733,0.0175,5.4477,0.0802,2.603,40.037,Eco-Friendly
132659,male,Malthe,Nielsen,St.Merløse,Hovedstaden,Denmark,41,18.0295,9.8524,93.5537,0.3051,0.6448,24.0402,0.6239,4.4091,1.8897,3.7001,3.1338,13.3153,2.5015,11.8475,95.9093,17.3196,1.7552,1.4017,0.0474,6.933,1.1148,2.6829,15.7372,Eco-Friendly
269335,male,Gianfranco,Carpentier,Elsau,Nidwalden,Switzerland,27,18.543,8.4026,128.6107,1.1961,0.0254,306.9344,0.7541,9.7429,2.1606,2.5993,3.2421,9.0003,3.3266,12.6278,101.6103,20.9324,1.8725,0.0392,0.6642,7.8621,0.0042,3.2386,24.2504,Eco-Friendly
226840,female,Maeva,Mitchell,Glenwood,New Brunswick,Canada,40,11.0201,10.6148,117.3982,1.8228,0.0296,319.9928,0.7412,3.828,7.1162,4.3562,3.9342,4.5343,4.1012,12.9331,100.3674,16.418,1.9775,0.1695,1.1319,1.2169,0.0233,3.2178,75.4618,Eco-Friendly
361444,male,Victor,Castro,Australian Capital Territory,South Australia,Australia,29,4.7749,20.2891,109.9145,0.0385,3.5373,138.1158,0.8397,5.6624,3.0669,0.4533,1.4374,15.9306,3.3323,11.9148,123.9298,1.4742,1.4587,0.0,0.0161,6.8241,0.0,1.6517,31.6394,Eco-Friendly
49733,female,Buse,Oraloğlu,Eskişehir,Sakarya,Turkey,19,26.7331,7.1351,88.8872,1.0801,0.2106,412.9651,0.7506,2.1855,7.523,5.5882,2.8353,8.9509,2.779,11.1642,93.9165,34.7271,1.6138,1.8541,0.0189,6.2719,0.5221,2.7406,29.0573,Eco-Friendly
217350,female,Saya,Brabander,Oirschot,Gelderland,Netherlands,49,7.4236,7.7484,182.1609,0.1659,0.1087,11.463,0.638,1.5342,4.4021,1.3743,3.6199,2.1429,1.7042,19.9986,94.6175,7.645,1.8816,0.0,0.0385,1.7886,0.0,2.7472,7.6848,Eco-Friendly
373871,female,نازنین,نكو نظر,تهران,گیلان,Iran,35,25.9803,43.1017,166.5046,0.1705,0.8387,97.1114,0.6954,5.7489,8.9877,7.502,4.599,6.9766,1.3198,15.0384,90.589,31.4017,2.1432,0.0455,0.1307,5.7408,0.0,4.6165,6.5974,Eco-Friendly
314892,female,Alessandra,Dias,Garanhuns,Amazonas,Brazil,43,20.8915,33.2305,129.9719,0.0,2.9266,87.5719,0.5532,7.572,10.2888,0.4336,6.1571,6.6583,2.1442,14.315,163.3836,21.6234,1.5979,0.0,0.6924,0.0,0.0,2.1985,17.3371,Eco-Friendly
253269,female,Sophia,Chow,Brockton,Manitoba,Canada,38,36.2559,35.2789,115.048,1.3043,0.0,227.6753,0.6478,8.3184,5.7674,3.8329,5.1183,3.7437,3.0415,12.3702,87.8863,42.721,2.2142,0.5039,0.0768,4.406,1.281,4.929,30.7302,Eco-Friendly
406734,female,Anne,Mendoza,Atlanta,South Dakota,United States,36,30.5637,9.4331,140.3457,0.3897,0.0752,238.2314,0.6717,5.0246,3.8048,4.6706,2.3075,4.219,0.8708,13.7213,104.3478,35.9927,1.5091,0.0,0.3408,0.0,0.0102,2.2573,2.0703,Eco-Friendly
421439,male,Velemir,Paskevich,Ostrog,Sumska,Ukraine,43,14.7794,42.336,136.1382,0.0,0.0097,5.2093,0.944,10.8607,5.5544,0.5703,9.8578,5.305,2.1258,13.4024,99.5972,9.4998,1.4912,0.0,0.1608,4.1429,0.0057,1.7367,10.8123,Eco-Friendly
384488,female,Francisca,Picard,Sommeri,Vaud,Switzerland,30,27.8315,25.0169,142.099,1.3386,0.0115,237.5011,0.6438,3.1507,6.3944,1.761,4.7793,5.3009,1.4562,14.6351,110.5379,34.6112,2.0777,0.0309,0.0099,0.2908,0.0,4.3147,6.6382,Eco-Friendly
41901,male,Martín,Vergara,Taretán,Estado de Mexico,Mexico,40,23.4148,17.3193,191.4847,0.0365,0.2594,298.4994,0.7958,6.0245,8.308,0.2647,2.9933,3.6098,3.2914,15.977,208.2867,25.3869,1.7611,0.0599,0.052,3.2621,0.0,2.9916,37.4362,Eco-Friendly
314071,female,Henni,Leuschner,Sömmerda,Mecklenburg-Vorpommern,Germany,36,54.8556,8.6996,159.595,2.9584,0.0,314.0796,0.8494,7.5323,2.0235,1.3823,3.2981,3.796,1.6938,14.042,105.8023,49.3517,1.6978,0.0,0.0127,1.6009,0.0,2.9614,3.7575,Eco-Friendly
331797,female,Alison,Jimenez,Bristol,Lincolnshire,United Kingdom,23,2.0442,44.5371,166.2967,1.2196,0.0417,307.0076,0.6961,2.2304,2.715,2.4827,5.0871,4.4731,3.0538,14.3966,105.13,3.63,2.1405,0.0057,0.4762,3.2738,0.0062,3.3204,21.0831,Eco-Friendly
443529,male,Arron,Rivera,Ely,Cumbria,United Kingdom,36,23.4947,40.3977,140.9905,0.3889,0.0555,138.6988,0.7036,5.9796,3.0802,2.3324,5.0595,3.4373,2.3733,14.3379,100.4464,25.9682,2.2427,0.0,0.4851,4.4709,0.0,4.9803,11.5716,Eco-Friendly
24695,female,Silviya,Dzerovich,Stariy Sambir,Rivnenska,Ukraine,38,27.5551,17.2713,161.9519,0.0,0.3635,343.9841,0.8933,2.8081,1.8137,4.6445,2.0649,5.0998,3.9371,13.7553,92.952,27.268,1.5293,0.0,0.3517,4.0166,0.0,2.4032,46.589,Eco-Friendly
310510,female,Sofía,Mireles,San Juan de Guadalupe,Morelos,Mexico,43,15.4487,10.6681,184.8154,1.818,0.0,196.5153,3.0113,4.0475,1.9404,1.0682,4.2958,3.6306,4.596,15.3121,130.5066,18.7717,1.888,0.0,0.0281,5.1767,0.0198,3.6008,68.5884,Eco-Friendly
390273,female,Buse,Duygulu,Kilis,Adana,Turkey,34,18.9819,78.1366,107.9245,0.0853,1.2034,63.5342,0.6875,11.9006,2.9666,2.9873,5.8996,9.7604,4.354,12.0987,99.6728,17.972,2.5083,0.0,0.0142,7.2844,0.0,5.5985,66.6378,Eco-Friendly
167625,female,Lucie,Roussel,Onsernone,Nidwalden,Switzerland,36,29.0955,15.3658,146.4676,0.0672,0.0037,11.5952,0.4942,8.1585,4.0588,0.7787,11.9202,1.8078,1.0552,15.0928,104.077,32.4032,2.0508,0.0,0.0,7.6931,0.0607,4.2514,1.7295,Eco-Friendly
427869,male,كيان,کریمی,قرچک,کهگیلویه و بویراحمد,Iran,38,25.337,22.1463,118.3622,0.0,0.3332,14.8262,0.7021,9.4995,6.694,1.3422,3.208,2.8243,4.48,14.0365,102.0738,27.5293,1.8787,0.1393,0.8627,5.7573,0.0305,3.364,95.6396,Eco-Friendly
397041,female,بیتا,حسینی,کرمانشاه,فارس,Iran,30,28.3744,48.3809,111.4946,0.2129,0.1477,298.9764,0.6464,8.6709,5.4537,0.2861,4.1624,5.8156,3.0618,12.5694,137.7936,31.4501,2.0685,0.0,0.0396,6.0236,0.0,4.0425,26.2321,Eco-Friendly
161556,female,Patricia,Casares,Jojutla,Sonora,Mexico,38,18.8052,6.4432,96.7434,0.5831,0.0934,290.365,0.7228,7.5477,4.905,1.6885,2.8272,3.603,1.9322,11.6763,99.4787,21.7933,1.5961,0.0,0.0071,3.0388,0.2765,2.4464,9.0589,Eco-Friendly
104126,male,Freddie,Davis,Huntington Beach,North Carolina,United States,30,24.8309,17.0421,110.8923,0.0,0.2377,16.6005,0.4807,9.5386,4.2633,0.6262,16.1454,0.7622,4.3049,13.9617,102.0635,27.9568,1.7339,0.0362,0.7835,1.6575,0.0,2.8734,77.8356,Eco-Friendly
347739,male,Eino,Kalas,Hartola,Finland Proper,Finland,29,11.7689,29.7716,100.8265,0.0,1.463,9.7207,0.6507,1.1912,3.2059,2.7694,4.8343,4.724,4.1309,12.0073,99.1378,8.7295,1.9649,0.0,0.1086,5.8366,0.0,2.8748,60.9804,Eco-Friendly
135170,female,Larissa,Roger,Birsfelden,Ticino,Switzerland,32,4.6657,24.7596,134.7907,1.7732,0.0,45.0035,0.4991,8.5066,3.4289,1.5545,8.3431,7.3331,4.838,14.4305,85.1377,4.1083,2.0874,5.6411,0.0303,7.5914,2.5641,2.9946,78.8233,Eco-Friendly
101585,male,Rasmus,Nurmi,Jakobstad,South Karelia,Finland,45,16.317,6.8446,133.7117,1.134,0.0,95.8988,0.578,6.5029,4.1414,2.6935,1.915,5.0754,0.0449,15.7675,95.8346,17.7183,1.4886,0.0,0.4546,7.3341,0.0,1.9875,2.1875,Eco-Friendly
370335,male,Zlatan,Žigić,Aleksinac,Rasina,Serbia,36,35.3615,9.307,143.1212,0.1629,0.1072,6.4848,0.7754,4.6199,8.6197,0.184,8.017,3.3149,1.3919,20.2261,109.8628,43.3749,1.4848,0.3726,0.7286,0.0,0.0,2.2096,3.9312,Eco-Friendly
41627,male,Vitomir,Jakovljević,Boljevac,Kosovo,Serbia,26,19.6618,7.9772,147.8039,0.0134,0.0459,0.0,0.6214,1.2249,9.0571,0.3893,10.5661,3.2245,2.049,18.9527,98.0269,24.1538,2.1451,0.1254,0.0,7.2308,0.0,4.5115,11.922,Eco-Friendly
107170,female,Nicoline,Johansen,Ryslinge,Syddanmark,Denmark,32,5.1392,25.007,96.0061,0.0,0.3195,422.6712,0.6915,5.4268,3.6426,3.4288,2.1622,7.2989,1.3768,11.4374,95.8724,5.0033,1.6125,0.0,0.1475,6.0812,0.0,2.0531,3.6409,Eco-Friendly
364606,male,Murat,Duygulu,Hakkâri,Osmaniye,Turkey,44,23.9338,9.5321,196.8036,2.2135,0.0,318.8113,0.762,2.3761,1.9729,5.2859,3.4454,4.3278,2.0962,15.3092,106.2498,27.354,1.6753,0.0,0.3964,0.2003,0.0023,2.85,6.0562,Eco-Friendly
372770,female,Misty,Snyder,Mesa,North Dakota,United States,36,24.5117,37.8929,152.9052,3.6022,0.0551,315.4902,0.8024,8.2266,1.7433,1.2203,3.812,5.6556,2.5567,13.7188,104.4488,27.6652,2.0703,0.0314,0.8304,7.0867,0.0162,4.0753,11.3117,Eco-Friendly
162103,female,Rosario,Cruz,Albacete,Cataluña,Spain,40,23.3339,27.565,94.1466,0.1309,0.0126,105.0501,0.7826,3.4107,5.2079,0.4382,2.8782,8.6731,1.8844,11.6331,276.3352,23.4592,1.3951,0.0292,0.1807,5.9207,0.0112,1.8157,7.3552,Eco-Friendly
314111,male,Jerzy,Kopf,Meldorf,Sachsen-Anhalt,Germany,34,17.5253,20.4263,85.075,0.1128,0.704,89.4563,0.726,2.1112,2.9293,6.3326,3.6751,17.5249,2.6546,11.4141,96.3814,17.3724,1.9147,0.1121,0.6229,6.953,0.0,3.2619,15.5872,Eco-Friendly
442586,male,Landon,Boyd,Warrnambool,Western Australia,Australia,21,16.2699,45.2384,153.0124,0.0,0.2082,297.1078,0.6638,9.2521,2.5429,4.12,4.2376,4.9908,3.4233,13.7439,97.1759,17.9426,2.0785,0.0,0.0142,5.9959,0.7819,3.7878,26.923,Eco-Friendly
174763,female,Robin,Harris,Los Angeles,Arkansas,United States,47,2.5304,20.6665,131.247,0.1298,0.1048,306.4998,0.7057,1.4713,5.6634,3.7401,3.2593,6.8279,3.2186,13.3018,98.5904,3.2235,1.8809,0.0797,0.9383,6.8388,0.0254,2.5694,33.6143,Eco-Friendly
413013,male,Santiago,Rodríguez,Málaga,Castilla la Mancha,Spain,44,23.5688,46.8658,205.9033,2.2329,0.0,329.7472,0.7147,7.6986,5.7657,2.1774,6.1482,4.9255,0.1326,16.3103,102.5166,30.2084,2.3453,0.0973,0.9787,4.6984,0.017,5.4238,0.0,Eco-Friendly
150479,female,Rosalie,Frieß,Sankt Goarshausen,Sachsen-Anhalt,Germany,63,35.4023,11.5469,135.2079,0.082,0.1901,182.8265,0.6731,8.4445,6.1817,0.8815,3.4495,3.6509,4.4937,13.5161,116.2482,37.6998,1.8469,0.0,0.0478,3.2678,1.3007,3.2657,69.8129,Eco-Friendly
79289,female,Anne-Britt,Boomgaard,Baflo,Drenthe,Netherlands,44,27.1512,40.4623,84.238,0.0,0.116,329.5658,0.7405,4.9296,6.0193,3.3875,4.0553,5.6632,3.9732,11.2684,96.1205,33.665,2.0261,0.0,0.0039,5.2842,0.0,4.0715,66.3031,Eco-Friendly
323251,male,Julio,Taylor,St Albans,South Glamorgan,United Kingdom,20,18.6398,7.6686,167.8403,0.5774,0.0121,289.9872,0.75,9.9567,6.8412,5.1357,3.9052,4.864,3.8115,14.8326,90.8338,24.1198,1.92,0.0,0.0045,5.9763,0.0325,3.5511,55.8111,Eco-Friendly
345066,female,Ahlam,Hægeland,Frosta,Aust-Agder,Norway,39,22.1975,8.1635,154.7268,0.1637,0.0069,361.8828,0.841,5.6832,9.5638,1.9513,2.0001,4.2496,2.7339,14.5865,96.7252,29.0638,1.5682,0.0734,0.4052,2.2138,0.0,2.3573,27.6797,Eco-Friendly
126594,male,Kristijan,Šarić,Bosilegrad,Kosovo,Serbia,34,30.3231,41.7774,185.5454,0.3241,0.0093,273.1763,0.708,11.3906,3.2211,2.8731,4.8313,3.5898,3.4501,15.3952,101.8608,33.6177,2.181,0.0,0.4228,1.3701,0.0106,4.5247,32.6489,Eco-Friendly
215430,female,Nina,Boyer,Rueil-Malmaison,Haute-Saône,France,20,25.9492,7.5103,84.3901,0.9149,0.0108,311.6161,0.6892,2.6986,3.2179,2.317,2.7667,4.601,2.0236,10.8533,98.105,29.4917,1.6407,0.0,0.0,3.2668,0.0015,2.7339,7.4871,Eco-Friendly
12335,female,Adèle,Blanc,Rouen,Marne,France,22,12.164,8.3954,125.2563,0.3148,0.178,253.3151,0.7205,8.1132,6.1336,2.9077,3.6839,5.8548,2.4305,13.3984,93.981,13.0308,1.9316,0.0,0.0,7.1352,0.5291,3.1308,17.7715,Eco-Friendly
214555,female,Arlinda,Caldeira,Arapiraca,Minas Gerais,Brazil,34,32.6955,34.0168,126.4036,0.0561,0.3037,9.9905,0.6434,6.6754,2.7788,4.2726,4.4807,6.2705,2.9231,15.3938,101.6527,31.7856,2.065,0.2168,0.0287,7.7531,0.0061,4.1549,19.6156,Eco-Friendly
68236,male,Hans-Jochen,Forstner,Heidelberg,Niedersachsen,Germany,54,16.5118,41.2263,140.9998,0.1423,0.0155,309.2877,0.6928,4.3767,3.2431,6.5217,4.4335,4.919,3.2506,13.5203,103.1278,19.6432,2.1372,0.0563,0.3138,6.7901,0.0,4.1466,26.1019,Eco-Friendly
127893,male,Naveen,Kulkarni,Nagercoil,Chhattisgarh,India,26,17.0712,5.5317,119.1146,0.1195,0.0388,13.187,0.6275,3.5976,1.9575,6.2915,4.9923,4.7493,2.4606,19.6404,97.2626,15.201,1.9885,0.0,0.0067,6.8351,0.0123,3.452,12.1439,Eco-Friendly
206938,male,Miro,Salminen,Kimitoön,North Karelia,Finland,34,9.6576,38.2481,105.366,0.0,0.7453,70.0473,0.7156,7.8211,3.8892,0.4557,3.9182,6.7279,5.5426,12.6376,121.1002,9.3427,1.7293,0.3782,0.036,4.2832,1.5368,2.1363,99.6689,Eco-Friendly
339909,male,Blake,Chow,Melbourne,Alberta,Canada,31,2.8307,7.9744,197.5155,1.0122,0.0243,314.711,0.7159,5.5689,4.6163,4.2804,3.6679,4.3143,4.6225,15.9931,99.398,4.8404,1.8374,0.0219,0.0095,3.9731,0.001,2.4715,96.5477,Eco-Friendly
333896,male,Sandro,Caron,Dunkerque,Hautes-Pyrénées,France,26,38.5459,79.6635,144.4727,0.0,0.0,7.3538,0.6657,7.8656,0.0,0.7091,12.6079,3.4693,4.0477,12.2877,105.015,33.4633,1.9413,0.2326,0.0107,1.9926,0.0072,3.4004,29.3015,Eco-Friendly
356859,female,Leta,Grant,New Orleans,Alabama,United States,38,26.0788,20.3077,137.106,0.228,0.0,274.5461,0.7152,3.2619,6.5405,3.2046,4.3162,7.7164,2.9296,13.7968,86.3291,30.6346,1.9788,0.0,0.0459,7.0564,1.1424,3.8923,28.8482,Eco-Friendly
404490,female,Claudine,Michel,Jonen,Genève,Switzerland,22,19.4534,12.6249,179.5136,0.1393,0.1598,46.8812,0.5603,9.4209,10.1136,0.5965,4.186,4.4879,4.1056,16.6125,128.912,21.6625,1.9493,0.1873,0.0057,5.4268,1.1865,3.4691,64.0936,Eco-Friendly
143799,female,Michéle,Nuijen,Vlodrop,Utrecht,Netherlands,30,10.7865,10.4221,155.2835,0.2479,0.1616,200.8542,0.7827,2.6172,6.8151,1.0226,1.874,4.9191,3.1152,14.8898,125.7931,10.7985,1.2944,0.1316,0.0029,6.7569,0.0,1.3515,25.6581,Eco-Friendly
470192,female,Sofia,Linna,Pälkäne,Tavastia Proper,Finland,22,0.0,42.9544,98.8983,5.4667,0.1092,315.6498,0.7427,1.9953,4.8455,6.4926,4.4745,9.0035,4.4649,12.0514,106.0432,1.0382,2.2284,0.0,0.2841,7.2144,0.0,3.5275,75.6424,Eco-Friendly
283036,male,Cohen,Turner,New Plymouth,Northland,New Zealand,44,9.9287,24.8596,113.3256,0.1283,0.0974,135.8667,0.5674,4.4428,3.5088,0.5248,2.0491,7.0969,2.9901,12.6099,211.3132,8.9795,1.2023,0.073,0.0,3.1033,0.1281,1.0968,20.3859,Eco-Friendly
282946,male,Oseias,Duarte,Santo André,Rio Grande do Norte,Brazil,35,4.3843,40.3587,140.1836,0.6745,0.0326,153.987,0.579,10.0598,4.1417,2.5358,6.3723,4.1855,2.2851,14.6103,99.6158,4.8754,2.3954,0.0,0.6464,1.1839,0.0,4.2955,13.0756,Eco-Friendly
292660,male,Roberto,Bradley,Wells,Clwyd,United Kingdom,73,35.072,10.72,179.2957,1.4047,0.0314,337.4422,0.7206,4.1929,3.6949,1.8065,3.0465,4.7852,1.5197,14.8915,107.9424,40.6789,1.6805,0.0,0.2147,0.0,0.0,2.922,4.7839,Eco-Friendly
